Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2005,India,IND,Flood,Riverine flood,"Yingkiong village (Upper Siang (70051) district, Arunachal Pradesh province), Seppa village (East Kameng (70040) district, Arunachal Pradesh province), Anini village (70050 district, Arunachal Pradesh province), Dibrugarh, Sonitpur, Sibsagar, Dhemaji, Tinsukia, Karimganj, Lakhimpur, Jorhat, Morigaon, Dhuburi, Goalpara, Barpeta districts (Assam province), Bahraich, Shravasti, Banda, Ballia, Lakhimpur Kheri, Kanpur, Varanasi, Mainpuri districts (Uttar Pradesh province), Haridwar, Uttarkashi, Naini Tal, Dehran Dun districts (Uttarakhand province), Muzaffarpur, Darbhanga, Madhubani districts (Bihar province), Birbhum district (West Bengal province)",70.0,,1904000.0,1908000.0
2005,India,IND,Flood,Riverine flood,"Ashoknagar, Chhatarpur, Damoh, Jabalpur, Katni, Narsinghpur, Panna, Rewa, Sagar, Satna districts (Madhya Pradesh province)",62.0,,49000.0,49000.0
2005,India,IND,Flood,Riverine flood,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, East Godavari, Guntur, Krishna, Nellore, Prakasam, Srikakulam, Vishakhapatnam, Vizianagaram, West Godavari districts (Andhra Pradesh province)",12.0,,10000.0,10000.0
2005,India,IND,Flood,Riverine flood,"Gujarat, Madhya Pradesh, Maharashtra, Goa, Orissa, Karnataka, Himachal Pradesh, Jammu and Kashmir provinces",1200.0,55.0,20000000.0,20000055.0
2005,India,IND,Flood,Flash flood,Azamgarh district (Uttar Pradesh province),27.0,,800000.0,800000.0
2005,India,IND,Flood,Riverine flood,"Karnataka, Andhra Pradesh provinces",126.0,,100000.0,100000.0
2005,India,IND,Flood,Riverine flood,"Himachal Pradesh, Uttar Pradesh, Uttarakhand provinces",23.0,4.0,,2504.0
2005,India,IND,Flood,Riverine flood,"Raj Nandgaon, Durg districts (Chhattisgarh province), Baleshwar, Bhadrak, Jajpur districts (Orissa province), Bhandara, Gondiya, Nagpur districts (Maharashtra province), Balaghat, Katni, Jabalpur, Seoni districts (Madhya Pradesh province)",89.0,,550000.0,550000.0
2005,India,IND,Flood,Riverine flood,"East Midnapore, South 24 Parganas, Barddhaman, Nadia districts (West Bengal province), Baleshwar district (Orissa province)",19.0,,2000000.0,2250000.0
2005,India,IND,Flood,Riverine flood,"Surat, Vadodara, Bhavnagar, Panch Mahals, Narmada districts (Gujarat province)",15.0,,,
2005,India,IND,Flood,Riverine flood,"Salem, Namakkal, Karur, Erode, Tiruchchirappalli, Vellore, Perambalur, Nagapattinam, Kanniyakumari, Dharmapuri, Madurai, Villupuram, Chennai, Cuddalore districts (Tamil Nadu province), Karaikal district (Puducherry province), Bangalore Rural, Bangalore Urban, Mysore districts (Karnataka province), Nellore, Chittoor, Vishakhapatnam, Srikakulam, Vizianagaram, Cuddapah districts (Andhra Pradesh province), West Bengal, Orissa provinces",162.0,,2000000.0,2000000.0
2005,India,IND,Flood,Riverine flood,Tamil Nadu province,30.0,,200000.0,200000.0
2005,India,IND,Flood,Riverine flood,"Himachal Pradesh, Punjab, Jammu and Kashmir, Haryana provinces",10.0,,2000.0,2000.0
2006,India,IND,Flood,Flash flood,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, Srikakulam, Krishna districts (Andhra Pradesh province)",20.0,,,
2006,India,IND,Flood,Riverine flood,"Assam, Tripura provinces",21.0,,504000.0,504000.0
2006,India,IND,Flood,Riverine flood,Kerala province,32.0,,10800.0,10800.0
2006,India,IND,Flood,Riverine flood,"Maharashtra, Gujarat provinces",41.0,,,
2006,India,IND,Flood,Riverine flood,"Ballia, Chandauli districts (Uttar Pradesh province)",130.0,,300000.0,300000.0
2006,India,IND,Flood,Riverine flood,"Navsari, The Dangs districts (Gujarat)",24.0,,8400.0,8400.0
